query_id Q0 doc_id rank BM25_score system_name
6 Q0 363 1 5.919408032757373 UniBM25
6 Q0 117 2 5.553807424151482 UniBM25
6 Q0 67 3 5.351660524936777 UniBM25
6 Q0 70 4 5.271133389876599 UniBM25
6 Q0 52 5 5.244515605810155 UniBM25
6 Q0 56 6 5.135663715129123 UniBM25
6 Q0 54 7 5.025954415609837 UniBM25
6 Q0 37 8 5.005239685524281 UniBM25
6 Q0 68 9 4.968545430868673 UniBM25
6 Q0 19 10 4.94314974579584 UniBM25
6 Q0 71 11 4.906838098579451 UniBM25
6 Q0 55 12 4.906112718303795 UniBM25
6 Q0 65 13 4.8440959726645065 UniBM25
6 Q0 368 14 4.76565638931983 UniBM25
6 Q0 62 15 4.755983403020827 UniBM25
6 Q0 69 16 4.706702748117439 UniBM25
6 Q0 883 17 4.5742152281967865 UniBM25
6 Q0 51 18 4.344185088084581 UniBM25
6 Q0 7 19 4.306085409166888 UniBM25
6 Q0 143 20 4.306085409166888 UniBM25
6 Q0 366 21 4.248551763745238 UniBM25
6 Q0 824 22 4.216445679416662 UniBM25
6 Q0 255 23 4.044868122333683 UniBM25
6 Q0 57 24 4.044868122333683 UniBM25
6 Q0 994 25 4.042026449922087 UniBM25
6 Q0 888 26 3.99028770710563 UniBM25
6 Q0 60 27 3.9725031519582625 UniBM25
6 Q0 96 28 3.953062900170398 UniBM25
6 Q0 509 29 3.879256806873341 UniBM25
6 Q0 12 30 3.8670803765695956 UniBM25
6 Q0 520 31 3.8066458486634343 UniBM25
6 Q0 269 32 3.740805897206945 UniBM25
6 Q0 265 33 3.7326573295436454 UniBM25
6 Q0 497 34 3.703499516567203 UniBM25
6 Q0 880 35 3.6676622892926303 UniBM25
6 Q0 13 36 3.614386057112523 UniBM25
6 Q0 63 37 3.5815241251102314 UniBM25
6 Q0 240 38 3.5690058982993973 UniBM25
6 Q0 496 39 3.522226640852406 UniBM25
6 Q0 326 40 3.4818362926854816 UniBM25
6 Q0 315 41 3.394404151643307 UniBM25
6 Q0 847 42 3.371922593300414 UniBM25
6 Q0 374 43 3.370959033319267 UniBM25
6 Q0 250 44 3.3359206374425785 UniBM25
6 Q0 105 45 3.2734750607729706 UniBM25
6 Q0 751 46 3.2696050509279972 UniBM25
6 Q0 81 47 3.2015538737106706 UniBM25
6 Q0 982 48 3.1863230735153287 UniBM25
6 Q0 77 49 3.1786579658669503 UniBM25
6 Q0 681 50 3.172100841277951 UniBM25
6 Q0 275 51 3.172100841277951 UniBM25
6 Q0 82 52 3.1588910119728313 UniBM25
6 Q0 844 53 3.125497481401086 UniBM25
6 Q0 659 54 3.0955245419644313 UniBM25
6 Q0 35 55 3.064387103594232 UniBM25
6 Q0 36 56 3.064387103594232 UniBM25
6 Q0 10 57 3.0466467817460248 UniBM25
6 Q0 25 58 2.993556719045064 UniBM25
6 Q0 78 59 2.948869957191641 UniBM25
6 Q0 386 60 2.9409728580726617 UniBM25
6 Q0 247 61 2.8812816221011595 UniBM25
6 Q0 91 62 2.607945440025368 UniBM25
6 Q0 248 63 2.5422627666149196 UniBM25
6 Q0 49 64 2.518341551043256 UniBM25
6 Q0 83 65 2.469835513349964 UniBM25
6 Q0 76 66 2.465214683649555 UniBM25
6 Q0 743 67 2.420334283494901 UniBM25
6 Q0 765 68 2.4183622258855295 UniBM25
6 Q0 187 69 2.359359461198653 UniBM25
6 Q0 204 70 2.171639369276037 UniBM25
6 Q0 80 71 2.1665233733107545 UniBM25
6 Q0 691 72 2.1302160263745025 UniBM25
6 Q0 185 73 2.106030095148562 UniBM25
6 Q0 79 74 2.100697794410328 UniBM25
6 Q0 987 75 2.083647681115046 UniBM25
6 Q0 233 76 2.0397566742751945 UniBM25
6 Q0 383 77 1.9629283348400615 UniBM25
6 Q0 239 78 1.9101460779021235 UniBM25
6 Q0 9 79 1.7967950333503164 UniBM25
6 Q0 148 80 1.7726160173663692 UniBM25
6 Q0 249 81 1.6645073642310637 UniBM25
6 Q0 64 82 1.6645073642310637 UniBM25
6 Q0 33 83 1.6372983488531423 UniBM25
6 Q0 738 84 1.6215655253887635 UniBM25
6 Q0 990 85 1.5820529985350305 UniBM25
6 Q0 721 86 1.526483235903262 UniBM25
6 Q0 771 87 1.4666516437517776 UniBM25
6 Q0 692 88 1.4394093477865637 UniBM25
6 Q0 376 89 1.4259819722127571 UniBM25
6 Q0 375 90 1.3353710724576906 UniBM25
6 Q0 661 91 1.231477763611027 UniBM25
6 Q0 706 92 1.1668364460372496 UniBM25
6 Q0 723 93 1.1668338861013623 UniBM25
6 Q0 380 94 1.1281222516759908 UniBM25
6 Q0 444 95 1.0887445574624581 UniBM25
6 Q0 325 96 1.0271112603148276 UniBM25
6 Q0 666 97 0.8413319975586574 UniBM25
6 Q0 644 98 0.8240641529074223 UniBM25
6 Q0 407 99 0.801971706817332 UniBM25
6 Q0 5 100 0.7200524294423557 UniBM25
