query_id Q0 doc_id rank Lucene_score system_name
2 Q0 278.txt 1.  score=0.5728788 VSMLucene
2 Q0 277.txt 2.  score=0.43879086 VSMLucene
2 Q0 408.txt 3.  score=0.38878983 VSMLucene
2 Q0 119.txt 4.  score=0.33994606 VSMLucene
2 Q0 83.txt 5.  score=0.3160914 VSMLucene
2 Q0 792.txt 6.  score=0.28890848 VSMLucene
2 Q0 187.txt 7.  score=0.27403957 VSMLucene
2 Q0 444.txt 8.  score=0.25989622 VSMLucene
2 Q0 483.txt 9.  score=0.23653878 VSMLucene
2 Q0 199.txt 10.  score=0.23109731 VSMLucene
2 Q0 264.txt 11.  score=0.2230109 VSMLucene
2 Q0 398.txt 12.  score=0.2230109 VSMLucene
2 Q0 409.txt 13.  score=0.2230109 VSMLucene
2 Q0 81.txt 14.  score=0.209103 VSMLucene
2 Q0 202.txt 15.  score=0.19260564 VSMLucene
2 Q0 10.txt 16.  score=0.1636737 VSMLucene
2 Q0 250.txt 17.  score=0.15225103 VSMLucene
2 Q0 57.txt 18.  score=0.14614159 VSMLucene
2 Q0 255.txt 19.  score=0.14614159 VSMLucene
2 Q0 464.txt 20.  score=0.14445424 VSMLucene
2 Q0 74.txt 21.  score=0.14445424 VSMLucene
2 Q0 382.txt 22.  score=0.14445424 VSMLucene
2 Q0 445.txt 23.  score=0.14445424 VSMLucene
2 Q0 473.txt 24.  score=0.12976255 VSMLucene
2 Q0 246.txt 25.  score=0.11826939 VSMLucene
2 Q0 986.txt 26.  score=0.11010717 VSMLucene
2 Q0 425.txt 27.  score=0.11010717 VSMLucene
2 Q0 537.txt 28.  score=0.09083378 VSMLucene
2 Q0 198.txt 29.  score=0.08940065 VSMLucene
2 Q0 872.txt 30.  score=0.08428775 VSMLucene
2 Q0 326.txt 31.  score=0.07884626 VSMLucene
2 Q0 58.txt 32.  score=0.077857524 VSMLucene
2 Q0 383.txt 33.  score=0.07700809 VSMLucene
2 Q0 677.txt 34.  score=0.074500546 VSMLucene
2 Q0 416.txt 35.  score=0.07375178 VSMLucene
2 Q0 113.txt 36.  score=0.07299533 VSMLucene
2 Q0 429.txt 37.  score=0.07299533 VSMLucene
2 Q0 893.txt 38.  score=0.070536666 VSMLucene
2 Q0 269.txt 39.  score=0.070536666 VSMLucene
2 Q0 213.txt 40.  score=0.06422918 VSMLucene
2 Q0 196.txt 41.  score=0.06321581 VSMLucene
2 Q0 287.txt 42.  score=0.06321581 VSMLucene
2 Q0 76.txt 43.  score=0.06155178 VSMLucene
2 Q0 91.txt 44.  score=0.059134696 VSMLucene
2 Q0 116.txt 45.  score=0.052679844 VSMLucene
2 Q0 477.txt 46.  score=0.052679844 VSMLucene
2 Q0 201.txt 47.  score=0.052679844 VSMLucene
2 Q0 208.txt 48.  score=0.052679844 VSMLucene
2 Q0 779.txt 49.  score=0.052679844 VSMLucene
2 Q0 85.txt 50.  score=0.052679844 VSMLucene
2 Q0 680.txt 51.  score=0.052679844 VSMLucene
2 Q0 261.txt 52.  score=0.051905017 VSMLucene
2 Q0 990.txt 53.  score=0.048171885 VSMLucene
2 Q0 275.txt 54.  score=0.04587799 VSMLucene
2 Q0 272.txt 55.  score=0.04587799 VSMLucene
2 Q0 366.txt 56.  score=0.04587799 VSMLucene
2 Q0 681.txt 57.  score=0.04587799 VSMLucene
2 Q0 432.txt 58.  score=0.04562208 VSMLucene
2 Q0 150.txt 59.  score=0.04541689 VSMLucene
2 Q0 38.txt 60.  score=0.044700325 VSMLucene
2 Q0 67.txt 61.  score=0.042483613 VSMLucene
2 Q0 265.txt 62.  score=0.042143874 VSMLucene
2 Q0 717.txt 63.  score=0.042143874 VSMLucene
2 Q0 786.txt 64.  score=0.042143874 VSMLucene
2 Q0 781.txt 65.  score=0.042143874 VSMLucene
2 Q0 838.txt 66.  score=0.042143874 VSMLucene
2 Q0 191.txt 67.  score=0.042143874 VSMLucene
2 Q0 783.txt 68.  score=0.042143874 VSMLucene
2 Q0 650.txt 69.  score=0.042143874 VSMLucene
2 Q0 286.txt 70.  score=0.042143874 VSMLucene
2 Q0 92.txt 71.  score=0.039731503 VSMLucene
2 Q0 200.txt 72.  score=0.038928762 VSMLucene
2 Q0 845.txt 73.  score=0.03687589 VSMLucene
2 Q0 454.txt 74.  score=0.03687589 VSMLucene
2 Q0 844.txt 75.  score=0.03670239 VSMLucene
2 Q0 65.txt 76.  score=0.03670239 VSMLucene
2 Q0 991.txt 77.  score=0.03670239 VSMLucene
2 Q0 441.txt 78.  score=0.03670239 VSMLucene
2 Q0 100.txt 79.  score=0.032440636 VSMLucene
2 Q0 103.txt 80.  score=0.032440636 VSMLucene
2 Q0 258.txt 81.  score=0.032440636 VSMLucene
2 Q0 79.txt 82.  score=0.032440636 VSMLucene
2 Q0 231.txt 83.  score=0.032440636 VSMLucene
2 Q0 257.txt 84.  score=0.032440636 VSMLucene
2 Q0 455.txt 85.  score=0.03211459 VSMLucene
2 Q0 315.txt 86.  score=0.031607904 VSMLucene
2 Q0 112.txt 87.  score=0.031607904 VSMLucene
2 Q0 997.txt 88.  score=0.031607904 VSMLucene
2 Q0 118.txt 89.  score=0.031607904 VSMLucene
2 Q0 204.txt 90.  score=0.029800218 VSMLucene
2 Q0 386.txt 91.  score=0.02781205 VSMLucene
2 Q0 176.txt 92.  score=0.027526792 VSMLucene
2 Q0 160.txt 93.  score=0.027526792 VSMLucene
2 Q0 391.txt 94.  score=0.027526792 VSMLucene
2 Q0 998.txt 95.  score=0.027526792 VSMLucene
2 Q0 239.txt 96.  score=0.026339922 VSMLucene
2 Q0 989.txt 97.  score=0.025952509 VSMLucene
2 Q0 173.txt 98.  score=0.022938995 VSMLucene
2 Q0 80.txt 99.  score=0.022938995 VSMLucene
2 Q0 437.txt 100.  score=0.022938995 VSMLucene
