query_id Q0 doc_id rank Lucene_score system_name
1 Q0 3.txt 1.  score=0.55783373 VSMLucene
1 Q0 654.txt 2.  score=0.47389787 VSMLucene
1 Q0 663.txt 3.  score=0.4297262 VSMLucene
1 Q0 651.txt 4.  score=0.4297262 VSMLucene
1 Q0 655.txt 5.  score=0.3757651 VSMLucene
1 Q0 653.txt 6.  score=0.36956298 VSMLucene
1 Q0 824.txt 7.  score=0.32759845 VSMLucene
1 Q0 656.txt 8.  score=0.3215623 VSMLucene
1 Q0 685.txt 9.  score=0.3098006 VSMLucene
1 Q0 779.txt 10.  score=0.30610296 VSMLucene
1 Q0 858.txt 11.  score=0.25423515 VSMLucene
1 Q0 786.txt 12.  score=0.24777356 VSMLucene
1 Q0 650.txt 13.  score=0.24777356 VSMLucene
1 Q0 652.txt 14.  score=0.23456745 VSMLucene
1 Q0 657.txt 15.  score=0.20869443 VSMLucene
1 Q0 746.txt 16.  score=0.17524968 VSMLucene
1 Q0 875.txt 17.  score=0.16214731 VSMLucene
1 Q0 334.txt 18.  score=0.16147718 VSMLucene
1 Q0 363.txt 19.  score=0.1610415 VSMLucene
1 Q0 838.txt 20.  score=0.14518349 VSMLucene
1 Q0 788.txt 21.  score=0.14331932 VSMLucene
1 Q0 370.txt 22.  score=0.14042369 VSMLucene
1 Q0 235.txt 23.  score=0.13873574 VSMLucene
1 Q0 871.txt 24.  score=0.13744126 VSMLucene
1 Q0 852.txt 25.  score=0.13407253 VSMLucene
1 Q0 846.txt 26.  score=0.13407253 VSMLucene
1 Q0 829.txt 27.  score=0.13407253 VSMLucene
1 Q0 431.txt 28.  score=0.13381027 VSMLucene
1 Q0 672.txt 29.  score=0.13319695 VSMLucene
1 Q0 210.txt 30.  score=0.13319695 VSMLucene
1 Q0 792.txt 31.  score=0.13319695 VSMLucene
1 Q0 679.txt 32.  score=0.13319695 VSMLucene
1 Q0 713.txt 33.  score=0.13153493 VSMLucene
1 Q0 206.txt 34.  score=0.13153493 VSMLucene
1 Q0 799.txt 35.  score=0.13065001 VSMLucene
1 Q0 813.txt 36.  score=0.1290509 VSMLucene
1 Q0 859.txt 37.  score=0.12690699 VSMLucene
1 Q0 789.txt 38.  score=0.124179274 VSMLucene
1 Q0 860.txt 39.  score=0.124179274 VSMLucene
1 Q0 830.txt 40.  score=0.12410334 VSMLucene
1 Q0 817.txt 41.  score=0.12170883 VSMLucene
1 Q0 834.txt 42.  score=0.12161048 VSMLucene
1 Q0 839.txt 43.  score=0.12161048 VSMLucene
1 Q0 369.txt 44.  score=0.11853422 VSMLucene
1 Q0 742.txt 45.  score=0.117283724 VSMLucene
1 Q0 815.txt 46.  score=0.116536126 VSMLucene
1 Q0 825.txt 47.  score=0.11625503 VSMLucene
1 Q0 795.txt 48.  score=0.115613125 VSMLucene
1 Q0 781.txt 49.  score=0.11532202 VSMLucene
1 Q0 811.txt 50.  score=0.11172711 VSMLucene
1 Q0 823.txt 51.  score=0.10920589 VSMLucene
1 Q0 827.txt 52.  score=0.108777426 VSMLucene
1 Q0 810.txt 53.  score=0.10813503 VSMLucene
1 Q0 807.txt 54.  score=0.10813503 VSMLucene
1 Q0 872.txt 55.  score=0.10813503 VSMLucene
1 Q0 856.txt 56.  score=0.10765146 VSMLucene
1 Q0 333.txt 57.  score=0.10720935 VSMLucene
1 Q0 426.txt 58.  score=0.103765234 VSMLucene
1 Q0 850.txt 59.  score=0.10255634 VSMLucene
1 Q0 229.txt 60.  score=0.10255634 VSMLucene
1 Q0 828.txt 61.  score=0.10255634 VSMLucene
1 Q0 778.txt 62.  score=0.10134207 VSMLucene
1 Q0 804.txt 63.  score=0.10134207 VSMLucene
1 Q0 351.txt 64.  score=0.100906774 VSMLucene
1 Q0 228.txt 65.  score=0.099192016 VSMLucene
1 Q0 822.txt 66.  score=0.09675851 VSMLucene
1 Q0 835.txt 67.  score=0.09638569 VSMLucene
1 Q0 430.txt 68.  score=0.095773414 VSMLucene
1 Q0 648.txt 69.  score=0.094779566 VSMLucene
1 Q0 703.txt 70.  score=0.094779566 VSMLucene
1 Q0 412.txt 71.  score=0.09386825 VSMLucene
1 Q0 212.txt 72.  score=0.09386825 VSMLucene
1 Q0 837.txt 73.  score=0.09300925 VSMLucene
1 Q0 843.txt 74.  score=0.09125276 VSMLucene
1 Q0 836.txt 75.  score=0.09125276 VSMLucene
1 Q0 812.txt 76.  score=0.091230385 VSMLucene
1 Q0 840.txt 77.  score=0.09096249 VSMLucene
1 Q0 841.txt 78.  score=0.09064786 VSMLucene
1 Q0 800.txt 79.  score=0.08938169 VSMLucene
1 Q0 233.txt 80.  score=0.088980705 VSMLucene
1 Q0 783.txt 81.  score=0.08859899 VSMLucene
1 Q0 851.txt 82.  score=0.08853014 VSMLucene
