query_id Q0 doc_id rank Lucene_score system_name
6 Q0 67.txt 1.  score=0.50492257 VSMLucene
6 Q0 52.txt 2.  score=0.43110356 VSMLucene
6 Q0 69.txt 3.  score=0.29433018 VSMLucene
6 Q0 65.txt 4.  score=0.2892564 VSMLucene
6 Q0 19.txt 5.  score=0.2647639 VSMLucene
6 Q0 70.txt 6.  score=0.2350998 VSMLucene
6 Q0 49.txt 7.  score=0.17834193 VSMLucene
6 Q0 68.txt 8.  score=0.17343573 VSMLucene
6 Q0 57.txt 9.  score=0.16254503 VSMLucene
6 Q0 255.txt 10.  score=0.16254503 VSMLucene
6 Q0 56.txt 11.  score=0.14380531 VSMLucene
6 Q0 71.txt 12.  score=0.13874859 VSMLucene
6 Q0 55.txt 13.  score=0.13874859 VSMLucene
6 Q0 250.txt 14.  score=0.13041745 VSMLucene
6 Q0 54.txt 15.  score=0.122637585 VSMLucene
6 Q0 62.txt 16.  score=0.1201598 VSMLucene
6 Q0 37.txt 17.  score=0.114716955 VSMLucene
6 Q0 363.txt 18.  score=0.114433646 VSMLucene
6 Q0 60.txt 19.  score=0.10406144 VSMLucene
6 Q0 83.txt 20.  score=0.10190967 VSMLucene
6 Q0 117.txt 21.  score=0.093434684 VSMLucene
6 Q0 368.txt 22.  score=0.09249562 VSMLucene
6 Q0 249.txt 23.  score=0.08754179 VSMLucene
6 Q0 64.txt 24.  score=0.08754179 VSMLucene
6 Q0 883.txt 25.  score=0.079281956 VSMLucene
6 Q0 143.txt 26.  score=0.073582545 VSMLucene
6 Q0 7.txt 27.  score=0.073582545 VSMLucene
6 Q0 520.txt 28.  score=0.06937429 VSMLucene
6 Q0 824.txt 29.  score=0.0660683 VSMLucene
6 Q0 366.txt 30.  score=0.0660683 VSMLucene
6 Q0 51.txt 31.  score=0.060702506 VSMLucene
6 Q0 880.txt 32.  score=0.05285464 VSMLucene
6 Q0 888.txt 33.  score=0.05285464 VSMLucene
