query_id Q0 doc_id rank Lucene_score system_name
9 Q0 724.txt 1.  score=0.51270056 VSMLucene
9 Q0 371.txt 2.  score=0.4597164 VSMLucene
9 Q0 702.txt 3.  score=0.27511102 VSMLucene
9 Q0 783.txt 4.  score=0.23226573 VSMLucene
9 Q0 753.txt 5.  score=0.21567038 VSMLucene
9 Q0 367.txt 6.  score=0.1987828 VSMLucene
9 Q0 727.txt 7.  score=0.198779 VSMLucene
9 Q0 707.txt 8.  score=0.19452353 VSMLucene
9 Q0 690.txt 9.  score=0.18331565 VSMLucene
9 Q0 370.txt 10.  score=0.18266806 VSMLucene
9 Q0 648.txt 11.  score=0.1733141 VSMLucene
9 Q0 703.txt 12.  score=0.1733141 VSMLucene
9 Q0 572.txt 13.  score=0.16048297 VSMLucene
9 Q0 326.txt 14.  score=0.1567254 VSMLucene
9 Q0 517.txt 15.  score=0.14571087 VSMLucene
9 Q0 554.txt 16.  score=0.1285162 VSMLucene
9 Q0 706.txt 17.  score=0.118329905 VSMLucene
9 Q0 53.txt 18.  score=0.11828616 VSMLucene
9 Q0 864.txt 19.  score=0.11643255 VSMLucene
9 Q0 710.txt 20.  score=0.1140908 VSMLucene
9 Q0 328.txt 21.  score=0.113909416 VSMLucene
9 Q0 743.txt 22.  score=0.11322076 VSMLucene
9 Q0 608.txt 23.  score=0.113143735 VSMLucene
9 Q0 472.txt 24.  score=0.11188801 VSMLucene
9 Q0 694.txt 25.  score=0.1114147 VSMLucene
9 Q0 822.txt 26.  score=0.110844925 VSMLucene
9 Q0 756.txt 27.  score=0.109522395 VSMLucene
9 Q0 714.txt 28.  score=0.10794771 VSMLucene
9 Q0 767.txt 29.  score=0.10243033 VSMLucene
9 Q0 395.txt 30.  score=0.10218677 VSMLucene
9 Q0 456.txt 31.  score=0.10112489 VSMLucene
9 Q0 761.txt 32.  score=0.09788536 VSMLucene
9 Q0 906.txt 33.  score=0.09600565 VSMLucene
9 Q0 666.txt 34.  score=0.095502526 VSMLucene
9 Q0 729.txt 35.  score=0.09272979 VSMLucene
9 Q0 730.txt 36.  score=0.09272197 VSMLucene
9 Q0 245.txt 37.  score=0.09092583 VSMLucene
9 Q0 709.txt 38.  score=0.08940318 VSMLucene
9 Q0 265.txt 39.  score=0.0890842 VSMLucene
9 Q0 667.txt 40.  score=0.08862542 VSMLucene
9 Q0 722.txt 41.  score=0.08862542 VSMLucene
9 Q0 661.txt 42.  score=0.08821614 VSMLucene
9 Q0 556.txt 43.  score=0.08742652 VSMLucene
9 Q0 657.txt 44.  score=0.08718261 VSMLucene
9 Q0 847.txt 45.  score=0.085815586 VSMLucene
9 Q0 725.txt 46.  score=0.08563334 VSMLucene
9 Q0 738.txt 47.  score=0.08477536 VSMLucene
9 Q0 184.txt 48.  score=0.08279531 VSMLucene
9 Q0 565.txt 49.  score=0.08247397 VSMLucene
9 Q0 244.txt 50.  score=0.08068369 VSMLucene
9 Q0 809.txt 51.  score=0.08062414 VSMLucene
9 Q0 823.txt 52.  score=0.078857444 VSMLucene
9 Q0 665.txt 53.  score=0.07570258 VSMLucene
9 Q0 296.txt 54.  score=0.074528016 VSMLucene
9 Q0 96.txt 55.  score=0.07395862 VSMLucene
9 Q0 579.txt 56.  score=0.07240836 VSMLucene
9 Q0 723.txt 57.  score=0.07180802 VSMLucene
9 Q0 405.txt 58.  score=0.07054613 VSMLucene
9 Q0 670.txt 59.  score=0.07019034 VSMLucene
9 Q0 671.txt 60.  score=0.069309965 VSMLucene
9 Q0 826.txt 61.  score=0.068229124 VSMLucene
9 Q0 621.txt 62.  score=0.06582339 VSMLucene
9 Q0 586.txt 63.  score=0.064852685 VSMLucene
9 Q0 403.txt 64.  score=0.06471145 VSMLucene
9 Q0 379.txt 65.  score=0.064554915 VSMLucene
9 Q0 324.txt 66.  score=0.06447034 VSMLucene
9 Q0 691.txt 67.  score=0.06431812 VSMLucene
9 Q0 704.txt 68.  score=0.0642581 VSMLucene
