query_id Q0 doc_id rank Lucene_score system_name
4 Q0 263.txt 1.  score=0.48982686 VSMLucene
4 Q0 433.txt 2.  score=0.32170326 VSMLucene
4 Q0 828.txt 3.  score=0.3042651 VSMLucene
4 Q0 652.txt 4.  score=0.29986203 VSMLucene
4 Q0 822.txt 5.  score=0.28736722 VSMLucene
4 Q0 496.txt 6.  score=0.2791434 VSMLucene
4 Q0 368.txt 7.  score=0.26623198 VSMLucene
4 Q0 799.txt 8.  score=0.2570246 VSMLucene
4 Q0 751.txt 9.  score=0.24491343 VSMLucene
4 Q0 18.txt 10.  score=0.21514793 VSMLucene
4 Q0 419.txt 11.  score=0.21418716 VSMLucene
4 Q0 121.txt 12.  score=0.21418716 VSMLucene
4 Q0 853.txt 13.  score=0.21147639 VSMLucene
4 Q0 730.txt 14.  score=0.17143941 VSMLucene
4 Q0 216.txt 15.  score=0.17134973 VSMLucene
4 Q0 854.txt 16.  score=0.16283365 VSMLucene
4 Q0 782.txt 17.  score=0.16283365 VSMLucene
4 Q0 819.txt 18.  score=0.15213256 VSMLucene
4 Q0 47.txt 19.  score=0.15213256 VSMLucene
4 Q0 864.txt 20.  score=0.1285123 VSMLucene
4 Q0 82.txt 21.  score=0.12622502 VSMLucene
4 Q0 249.txt 22.  score=0.12246065 VSMLucene
4 Q0 64.txt 23.  score=0.12246065 VSMLucene
4 Q0 328.txt 24.  score=0.11409942 VSMLucene
4 Q0 843.txt 25.  score=0.11215229 VSMLucene
4 Q0 34.txt 26.  score=0.10969036 VSMLucene
4 Q0 29.txt 27.  score=0.10709358 VSMLucene
4 Q0 432.txt 28.  score=0.10709358 VSMLucene
4 Q0 233.txt 29.  score=0.10709358 VSMLucene
4 Q0 835.txt 30.  score=0.10573819 VSMLucene
4 Q0 10.txt 31.  score=0.09508285 VSMLucene
4 Q0 280.txt 32.  score=0.09508285 VSMLucene
4 Q0 81.txt 33.  score=0.0930478 VSMLucene
4 Q0 783.txt 34.  score=0.0930478 VSMLucene
4 Q0 875.txt 35.  score=0.09278873 VSMLucene
4 Q0 424.txt 36.  score=0.08119014 VSMLucene
4 Q0 192.txt 37.  score=0.08119014 VSMLucene
4 Q0 720.txt 38.  score=0.08119014 VSMLucene
4 Q0 326.txt 39.  score=0.07606628 VSMLucene
4 Q0 809.txt 40.  score=0.07476819 VSMLucene
4 Q0 691.txt 41.  score=0.06978585 VSMLucene
4 Q0 237.txt 42.  score=0.06959155 VSMLucene
4 Q0 673.txt 43.  score=0.066557996 VSMLucene
4 Q0 345.txt 44.  score=0.066557996 VSMLucene
4 Q0 874.txt 45.  score=0.06561154 VSMLucene
4 Q0 314.txt 46.  score=0.057992958 VSMLucene
4 Q0 577.txt 47.  score=0.057992958 VSMLucene
4 Q0 56.txt 48.  score=0.057992958 VSMLucene
4 Q0 811.txt 49.  score=0.057992958 VSMLucene
4 Q0 797.txt 50.  score=0.057992958 VSMLucene
4 Q0 218.txt 51.  score=0.057992958 VSMLucene
4 Q0 343.txt 52.  score=0.0574101 VSMLucene
4 Q0 52.txt 53.  score=0.056821264 VSMLucene
4 Q0 729.txt 54.  score=0.052869096 VSMLucene
4 Q0 963.txt 55.  score=0.052869096 VSMLucene
4 Q0 387.txt 56.  score=0.052869096 VSMLucene
4 Q0 191.txt 57.  score=0.052869096 VSMLucene
4 Q0 286.txt 58.  score=0.052869096 VSMLucene
4 Q0 847.txt 59.  score=0.050223377 VSMLucene
4 Q0 501.txt 60.  score=0.049208656 VSMLucene
4 Q0 851.txt 61.  score=0.049208656 VSMLucene
4 Q0 235.txt 62.  score=0.049208656 VSMLucene
4 Q0 813.txt 63.  score=0.049208656 VSMLucene
4 Q0 967.txt 64.  score=0.048085224 VSMLucene
4 Q0 339.txt 65.  score=0.046394367 VSMLucene
4 Q0 810.txt 66.  score=0.046394367 VSMLucene
4 Q0 344.txt 67.  score=0.046394367 VSMLucene
4 Q0 807.txt 68.  score=0.046394367 VSMLucene
4 Q0 120.txt 69.  score=0.046394367 VSMLucene
4 Q0 131.txt 70.  score=0.046394367 VSMLucene
4 Q0 14.txt 71.  score=0.04626046 VSMLucene
4 Q0 112.txt 72.  score=0.04261595 VSMLucene
4 Q0 855.txt 73.  score=0.041007213 VSMLucene
4 Q0 500.txt 74.  score=0.04059507 VSMLucene
4 Q0 214.txt 75.  score=0.04059507 VSMLucene
4 Q0 818.txt 76.  score=0.04059507 VSMLucene
