query_id Q0 doc_id rank Lucene_score system_name
3 Q0 95.txt 1.  score=0.3015652 VSMLucene
3 Q0 694.txt 2.  score=0.24200371 VSMLucene
3 Q0 458.txt 3.  score=0.22375135 VSMLucene
3 Q0 692.txt 4.  score=0.17610455 VSMLucene
3 Q0 767.txt 5.  score=0.17070986 VSMLucene
3 Q0 269.txt 6.  score=0.13457578 VSMLucene
3 Q0 75.txt 7.  score=0.115811415 VSMLucene
3 Q0 655.txt 8.  score=0.112097755 VSMLucene
3 Q0 671.txt 9.  score=0.106655024 VSMLucene
3 Q0 721.txt 10.  score=0.10004909 VSMLucene
3 Q0 178.txt 11.  score=0.09746155 VSMLucene
3 Q0 250.txt 12.  score=0.09583475 VSMLucene
3 Q0 641.txt 13.  score=0.09496048 VSMLucene
3 Q0 676.txt 14.  score=0.09380394 VSMLucene
3 Q0 649.txt 15.  score=0.09265324 VSMLucene
3 Q0 765.txt 16.  score=0.090585425 VSMLucene
3 Q0 707.txt 17.  score=0.08700082 VSMLucene
3 Q0 713.txt 18.  score=0.08645835 VSMLucene
3 Q0 206.txt 19.  score=0.08645835 VSMLucene
3 Q0 274.txt 20.  score=0.0851092 VSMLucene
3 Q0 116.txt 21.  score=0.080069825 VSMLucene
3 Q0 201.txt 22.  score=0.080069825 VSMLucene
3 Q0 824.txt 23.  score=0.080069825 VSMLucene
3 Q0 543.txt 24.  score=0.080069825 VSMLucene
3 Q0 982.txt 25.  score=0.079599254 VSMLucene
3 Q0 166.txt 26.  score=0.07937376 VSMLucene
3 Q0 890.txt 27.  score=0.07786292 VSMLucene
3 Q0 972.txt 28.  score=0.07786292 VSMLucene
3 Q0 889.txt 29.  score=0.07786292 VSMLucene
3 Q0 691.txt 30.  score=0.07556632 VSMLucene
3 Q0 167.txt 31.  score=0.075493395 VSMLucene
3 Q0 714.txt 32.  score=0.07426521 VSMLucene
3 Q0 875.txt 33.  score=0.07059294 VSMLucene
3 Q0 266.txt 34.  score=0.070024356 VSMLucene
3 Q0 753.txt 35.  score=0.06989328 VSMLucene
3 Q0 76.txt 36.  score=0.06961143 VSMLucene
3 Q0 371.txt 37.  score=0.06586443 VSMLucene
3 Q0 267.txt 38.  score=0.06522369 VSMLucene
3 Q0 504.txt 39.  score=0.06417298 VSMLucene
3 Q0 1.txt 40.  score=0.06417298 VSMLucene
3 Q0 78.txt 41.  score=0.06405586 VSMLucene
3 Q0 497.txt 42.  score=0.06405586 VSMLucene
3 Q0 247.txt 43.  score=0.06405586 VSMLucene
3 Q0 44.txt 44.  score=0.063831896 VSMLucene
3 Q0 304.txt 45.  score=0.063300006 VSMLucene
3 Q0 326.txt 46.  score=0.06272161 VSMLucene
3 Q0 363.txt 47.  score=0.0622659 VSMLucene
3 Q0 29.txt 48.  score=0.061376423 VSMLucene
3 Q0 850.txt 49.  score=0.061135277 VSMLucene
3 Q0 82.txt 50.  score=0.05979861 VSMLucene
3 Q0 367.txt 51.  score=0.058627464 VSMLucene
3 Q0 411.txt 52.  score=0.057518777 VSMLucene
3 Q0 165.txt 53.  score=0.057518777 VSMLucene
3 Q0 762.txt 54.  score=0.057127945 VSMLucene
3 Q0 725.txt 55.  score=0.056426536 VSMLucene
3 Q0 288.txt 56.  score=0.05610966 VSMLucene
