query_id Q0 doc_id rank BM25_score system_name
4 Q0 263 1 5.658672407897915 UniBM25
4 Q0 433 2 5.21787420859838 UniBM25
4 Q0 843 3 5.217481078406925 UniBM25
4 Q0 751 4 5.0606822051853575 UniBM25
4 Q0 853 5 5.026516256610702 UniBM25
4 Q0 822 6 5.014974160030636 UniBM25
4 Q0 809 7 4.785987848911315 UniBM25
4 Q0 828 8 4.769772104827432 UniBM25
4 Q0 835 9 4.61961542862782 UniBM25
4 Q0 652 10 4.527979467440589 UniBM25
4 Q0 730 11 4.510674344323889 UniBM25
4 Q0 368 12 4.386816767083257 UniBM25
4 Q0 496 13 4.360744349040146 UniBM25
4 Q0 799 14 4.224447051785446 UniBM25
4 Q0 419 15 4.096411609634642 UniBM25
4 Q0 121 16 3.954480155558139 UniBM25
4 Q0 216 17 3.868110843863674 UniBM25
4 Q0 819 18 3.7701506008227987 UniBM25
4 Q0 387 19 3.72233328946688 UniBM25
4 Q0 729 20 3.7075545075688345 UniBM25
4 Q0 191 21 3.688914020027019 UniBM25
4 Q0 286 22 3.688914020027019 UniBM25
4 Q0 47 23 3.636673678043548 UniBM25
4 Q0 18 24 3.590906505222343 UniBM25
4 Q0 963 25 3.4532855419627237 UniBM25
4 Q0 782 26 3.379438426030133 UniBM25
4 Q0 854 27 3.2780629662805723 UniBM25
4 Q0 52 28 2.9011119256708917 UniBM25
4 Q0 56 29 2.8617897595652044 UniBM25
4 Q0 328 30 2.8269829039891565 UniBM25
4 Q0 967 31 2.809609656416472 UniBM25
4 Q0 112 32 2.746008423279261 UniBM25
4 Q0 864 33 2.740986923793009 UniBM25
4 Q0 847 34 2.7386269037111624 UniBM25
4 Q0 874 35 2.7209323201104736 UniBM25
4 Q0 13 36 2.6732214224578783 UniBM25
4 Q0 343 37 2.6506045002181216 UniBM25
4 Q0 10 38 2.6173671264251364 UniBM25
4 Q0 501 39 2.6154245107319722 UniBM25
4 Q0 19 40 2.6112468278446284 UniBM25
4 Q0 813 41 2.607282158660825 UniBM25
4 Q0 851 42 2.5965042261928155 UniBM25
4 Q0 235 43 2.5568684760786353 UniBM25
4 Q0 29 44 2.539711412990361 UniBM25
4 Q0 233 45 2.5253506652853694 UniBM25
4 Q0 432 46 2.4820265583843475 UniBM25
4 Q0 875 47 2.458905514235243 UniBM25
4 Q0 255 48 2.449753828465911 UniBM25
4 Q0 57 49 2.449753828465911 UniBM25
4 Q0 855 50 2.4496713676964283 UniBM25
4 Q0 424 51 2.444550931213849 UniBM25
4 Q0 192 52 2.444550931213849 UniBM25
4 Q0 720 53 2.442174779140161 UniBM25
4 Q0 237 54 2.4093871683741614 UniBM25
4 Q0 811 55 2.3978896479340333 UniBM25
4 Q0 797 56 2.386501337963022 UniBM25
4 Q0 218 57 2.3718572614763715 UniBM25
4 Q0 314 58 2.3696202629158907 UniBM25
4 Q0 577 59 2.3640461839059506 UniBM25
4 Q0 131 60 2.3333096585096684 UniBM25
4 Q0 339 61 2.327904903376749 UniBM25
4 Q0 164 62 2.3276125610840057 UniBM25
4 Q0 280 63 2.314789589696965 UniBM25
4 Q0 826 64 2.309498710527418 UniBM25
4 Q0 120 65 2.3075931932615332 UniBM25
4 Q0 838 66 2.2957816812039704 UniBM25
4 Q0 810 67 2.285551851585756 UniBM25
4 Q0 344 68 2.2680148918004877 UniBM25
4 Q0 807 69 2.254784803047024 UniBM25
4 Q0 259 70 2.2534994735345792 UniBM25
4 Q0 500 71 2.2317519748968664 UniBM25
4 Q0 214 72 2.2169824053654508 UniBM25
4 Q0 416 73 2.2121025616429244 UniBM25
4 Q0 818 74 2.2111291696329554 UniBM25
4 Q0 81 75 2.1714171862702027 UniBM25
4 Q0 390 76 2.16008402871098 UniBM25
4 Q0 143 77 2.155176931939388 UniBM25
4 Q0 7 78 2.155176931939388 UniBM25
4 Q0 574 79 2.1533298256552227 UniBM25
4 Q0 82 80 2.124266849873644 UniBM25
4 Q0 430 81 2.1235695147875013 UniBM25
4 Q0 353 82 2.121510412024623 UniBM25
4 Q0 493 83 2.1037465665007806 UniBM25
4 Q0 836 84 2.0888795390970487 UniBM25
4 Q0 53 85 2.0828187201200095 UniBM25
4 Q0 249 86 2.060767753647365 UniBM25
4 Q0 64 87 2.060767753647365 UniBM25
4 Q0 37 88 2.033098805554478 UniBM25
4 Q0 93 89 2.022461040205758 UniBM25
4 Q0 89 90 1.9989654540996378 UniBM25
4 Q0 20 91 1.9675510389336166 UniBM25
4 Q0 311 92 1.9647345295747864 UniBM25
4 Q0 34 93 1.9415755304690894 UniBM25
4 Q0 372 94 1.9367163429531313 UniBM25
4 Q0 798 95 1.9367163429531313 UniBM25
4 Q0 87 96 1.9214573427654562 UniBM25
4 Q0 563 97 1.9029778265386434 UniBM25
4 Q0 549 98 1.8872541104624259 UniBM25
4 Q0 588 99 1.8832201778588733 UniBM25
4 Q0 36 100 1.8559304807693902 UniBM25
query_id Q0 doc_id rank BM25_score system_name
4 Q0 263 1 5.658672407897915 UniBM25
4 Q0 433 2 5.21787420859838 UniBM25
4 Q0 843 3 5.217481078406925 UniBM25
4 Q0 751 4 5.0606822051853575 UniBM25
4 Q0 853 5 5.026516256610702 UniBM25
4 Q0 822 6 5.014974160030636 UniBM25
4 Q0 809 7 4.785987848911315 UniBM25
4 Q0 828 8 4.769772104827432 UniBM25
4 Q0 835 9 4.61961542862782 UniBM25
4 Q0 652 10 4.527979467440589 UniBM25
4 Q0 730 11 4.510674344323889 UniBM25
4 Q0 368 12 4.386816767083257 UniBM25
4 Q0 496 13 4.360744349040146 UniBM25
4 Q0 799 14 4.224447051785446 UniBM25
4 Q0 419 15 4.096411609634642 UniBM25
4 Q0 121 16 3.954480155558139 UniBM25
4 Q0 216 17 3.868110843863674 UniBM25
4 Q0 819 18 3.7701506008227987 UniBM25
4 Q0 387 19 3.72233328946688 UniBM25
4 Q0 729 20 3.7075545075688345 UniBM25
4 Q0 191 21 3.688914020027019 UniBM25
4 Q0 286 22 3.688914020027019 UniBM25
4 Q0 47 23 3.636673678043548 UniBM25
4 Q0 18 24 3.590906505222343 UniBM25
4 Q0 963 25 3.4532855419627237 UniBM25
4 Q0 782 26 3.379438426030133 UniBM25
4 Q0 854 27 3.2780629662805723 UniBM25
4 Q0 52 28 2.9011119256708917 UniBM25
4 Q0 56 29 2.8617897595652044 UniBM25
4 Q0 328 30 2.8269829039891565 UniBM25
4 Q0 967 31 2.809609656416472 UniBM25
4 Q0 112 32 2.746008423279261 UniBM25
4 Q0 864 33 2.740986923793009 UniBM25
4 Q0 847 34 2.7386269037111624 UniBM25
4 Q0 874 35 2.7209323201104736 UniBM25
4 Q0 13 36 2.6732214224578783 UniBM25
4 Q0 343 37 2.6506045002181216 UniBM25
4 Q0 10 38 2.6173671264251364 UniBM25
4 Q0 501 39 2.6154245107319722 UniBM25
4 Q0 19 40 2.6112468278446284 UniBM25
4 Q0 813 41 2.607282158660825 UniBM25
4 Q0 851 42 2.5965042261928155 UniBM25
4 Q0 235 43 2.5568684760786353 UniBM25
4 Q0 29 44 2.539711412990361 UniBM25
4 Q0 233 45 2.5253506652853694 UniBM25
4 Q0 432 46 2.4820265583843475 UniBM25
4 Q0 875 47 2.458905514235243 UniBM25
4 Q0 57 48 2.449753828465911 UniBM25
4 Q0 255 49 2.449753828465911 UniBM25
4 Q0 855 50 2.4496713676964283 UniBM25
4 Q0 424 51 2.444550931213849 UniBM25
4 Q0 192 52 2.444550931213849 UniBM25
4 Q0 720 53 2.442174779140161 UniBM25
4 Q0 237 54 2.4093871683741614 UniBM25
4 Q0 811 55 2.3978896479340333 UniBM25
4 Q0 797 56 2.386501337963022 UniBM25
4 Q0 218 57 2.3718572614763715 UniBM25
4 Q0 314 58 2.3696202629158907 UniBM25
4 Q0 577 59 2.3640461839059506 UniBM25
4 Q0 131 60 2.3333096585096684 UniBM25
4 Q0 339 61 2.327904903376749 UniBM25
4 Q0 164 62 2.3276125610840057 UniBM25
4 Q0 280 63 2.314789589696965 UniBM25
4 Q0 826 64 2.309498710527418 UniBM25
4 Q0 120 65 2.3075931932615332 UniBM25
4 Q0 838 66 2.2957816812039704 UniBM25
4 Q0 810 67 2.285551851585756 UniBM25
4 Q0 344 68 2.2680148918004877 UniBM25
4 Q0 807 69 2.254784803047024 UniBM25
4 Q0 259 70 2.2534994735345792 UniBM25
4 Q0 500 71 2.2317519748968664 UniBM25
4 Q0 214 72 2.2169824053654508 UniBM25
4 Q0 416 73 2.2121025616429244 UniBM25
4 Q0 818 74 2.2111291696329554 UniBM25
4 Q0 81 75 2.1714171862702027 UniBM25
4 Q0 390 76 2.16008402871098 UniBM25
4 Q0 7 77 2.155176931939388 UniBM25
4 Q0 143 78 2.155176931939388 UniBM25
4 Q0 574 79 2.1533298256552227 UniBM25
4 Q0 82 80 2.124266849873644 UniBM25
4 Q0 430 81 2.1235695147875013 UniBM25
4 Q0 353 82 2.121510412024623 UniBM25
4 Q0 493 83 2.1037465665007806 UniBM25
4 Q0 836 84 2.0888795390970487 UniBM25
4 Q0 53 85 2.0828187201200095 UniBM25
4 Q0 249 86 2.060767753647365 UniBM25
4 Q0 64 87 2.060767753647365 UniBM25
4 Q0 37 88 2.033098805554478 UniBM25
4 Q0 93 89 2.022461040205758 UniBM25
4 Q0 89 90 1.9989654540996378 UniBM25
4 Q0 20 91 1.9675510389336166 UniBM25
4 Q0 311 92 1.9647345295747864 UniBM25
4 Q0 34 93 1.9415755304690894 UniBM25
4 Q0 372 94 1.9367163429531313 UniBM25
4 Q0 798 95 1.9367163429531313 UniBM25
4 Q0 87 96 1.9214573427654562 UniBM25
4 Q0 563 97 1.9029778265386434 UniBM25
4 Q0 549 98 1.8872541104624259 UniBM25
4 Q0 588 99 1.8832201778588733 UniBM25
4 Q0 35 100 1.8559304807693902 UniBM25
query_id Q0 doc_id rank BM25_score system_name
4 Q0 263 1 5.658672407897915 UniBM25
4 Q0 433 2 5.21787420859838 UniBM25
4 Q0 843 3 5.217481078406925 UniBM25
4 Q0 751 4 5.0606822051853575 UniBM25
4 Q0 853 5 5.026516256610702 UniBM25
4 Q0 822 6 5.014974160030636 UniBM25
4 Q0 809 7 4.785987848911315 UniBM25
4 Q0 828 8 4.769772104827432 UniBM25
4 Q0 835 9 4.61961542862782 UniBM25
4 Q0 652 10 4.527979467440589 UniBM25
4 Q0 730 11 4.510674344323889 UniBM25
4 Q0 368 12 4.386816767083257 UniBM25
4 Q0 496 13 4.360744349040146 UniBM25
4 Q0 799 14 4.224447051785446 UniBM25
4 Q0 419 15 4.096411609634642 UniBM25
4 Q0 121 16 3.954480155558139 UniBM25
4 Q0 216 17 3.868110843863674 UniBM25
4 Q0 819 18 3.7701506008227987 UniBM25
4 Q0 387 19 3.72233328946688 UniBM25
4 Q0 729 20 3.7075545075688345 UniBM25
4 Q0 286 21 3.688914020027019 UniBM25
4 Q0 191 22 3.688914020027019 UniBM25
