+------------------+------------+----+
|       term       |   docID    | df |
|   northwestern   |   ['1']    | 1  |
|  northwestward   |   ['2']    | 1  |
|     occurred     |   ['2']    | 1  |
|      occurs      |   ['1']    | 1  |
|      ocean       | ['1', '2'] | 2  |
|        of        | ['1', '2'] | 2  |
|        on        | ['1', '2'] | 2  |
|     opposite     |   ['1']    | 1  |
|        or        | ['1', '2'] | 2  |
|      origin      |   ['1']    | 1  |
|       out        | ['1', '2'] | 2  |
|      outer       |   ['2']    | 1  |
|       over       | ['1', '2'] | 2  |
|     pacific      |   ['1']    | 1  |
|       peak       |   ['2']    | 1  |
|   pennsylvania   |   ['2']    | 1  |
|      permit      |   ['1']    | 1  |
|     portion      |   ['2']    | 1  |
|    primarily     |   ['1']    | 1  |
|     produce      |   ['1']    | 1  |
|  quartersphere   |   ['1']    | 1  |
|     quickly      |   ['2']    | 1  |
|       rain       |   ['1']    | 1  |
|     rapidly      |   ['1']    | 1  |
|      rarely      |   ['1']    | 1  |
|      reach       |   ['2']    | 1  |
|   recondenses    |   ['1']    | 1  |
|     referred     |   ['1']    | 1  |
|      refers      |   ['1']    | 1  |
|    relatively    |   ['1']    | 1  |
|     reported     |   ['2']    | 1  |
|      result      |   ['1']    | 1  |
|     richmond     |   ['2']    | 1  |
|      rises       |   ['1']    | 1  |
|      rivers      |   ['2']    | 1  |
|      roads       |   ['2']    | 1  |
|     rotating     |   ['1']    | 1  |
|     rotation     |   ['1']    | 1  |
|      round       |   ['1']    | 1  |
|      rural       |   ['2']    | 1  |
|    saturation    |   ['1']    | 1  |
|       seas       |   ['1']    | 1  |
|      season      |   ['2']    | 1  |
|      second      |   ['2']    | 1  |
|    september     |   ['2']    | 1  |
|     service      |   ['2']    | 1  |
|     several      |   ['2']    | 1  |
|      shapes      |   ['1']    | 1  |
|      shear       |   ['2']    | 1  |
|      shores      |   ['2']    | 1  |
|      simply      |   ['1']    | 1  |
|       some       |   ['2']    | 1  |
|      source      |   ['1']    | 1  |
|      south       |   ['1']    | 1  |
|     southern     |   ['1']    | 1  |
|   southwestern   |   ['1']    | 1  |
|      spiral      |   ['1']    | 1  |
|     steadily     |   ['2']    | 1  |
|      storm       | ['1', '2'] | 2  |
|      storms      |   ['1']    | 1  |
|     strength     |   ['1']    | 1  |
|   strengthened   |   ['2']    | 1  |
|      strong      |   ['1']    | 1  |
|    strongest     |   ['2']    | 1  |
|       such       |   ['1']    | 1  |
|     surface      |   ['1']    | 1  |
|      surge       |   ['2']    | 1  |
|      system      |   ['1']    | 1  |
|     systems      |   ['1']    | 1  |
|   temperature    |   ['1']    | 1  |
|       that       |   ['1']    | 1  |
|       the        | ['1', '2'] | 2  |
|      their       |   ['1']    | 1  |
|      these       |   ['1']    | 1  |
|       they       |   ['1']    | 1  |
|       this       |   ['1']    | 1  |
|    thousands     |   ['2']    | 1  |
|     through      |   ['1']    | 1  |
|  thunderstorms   |   ['1']    | 1  |
|        to        | ['1', '2'] | 2  |
|      toward      |   ['1']    | 1  |
|     tropical     | ['1', '2'] | 2  |
|     typhoon      |   ['1']    | 1  |
|    typically     |   ['1']    | 1  |
|    ultimately    |   ['1']    | 1  |
|   unofficially   |   ['2']    | 1  |
|      verde       |   ['2']    | 1  |
|     virginia     |   ['2']    | 1  |
|       warm       | ['1', '2'] | 2  |
|       was        |   ['2']    | 1  |
|      washed      |   ['2']    | 1  |
|    washington    |   ['2']    | 1  |
|      water       |   ['1']    | 1  |
|      waters      |   ['2']    | 1  |
|       wave       |   ['2']    | 1  |
|     weakened     |   ['2']    | 1  |
|      weeks       |   ['2']    | 1  |
|       were       |   ['2']    | 1  |
|       west       |   ['2']    | 1  |
|     western      |   ['2']    | 1  |
|       what       |   ['2']    | 1  |
|       when       |   ['1']    | 1  |
|      where       |   ['2']    | 1  |
|      which       |   ['1']    | 1  |
|      while       |   ['1']    | 1  |
|     whirling     |   ['1']    | 1  |
|       wind       |   ['2']    | 1  |
|      winds       | ['1', '2'] | 2  |
|    windstorms    |   ['1']    | 1  |
|       with       | ['1', '2'] | 2  |
|      within      | ['1', '2'] | 2  |
|     without      |   ['2']    | 1  |
|      worst       |   ['2']    | 1  |
+------------------+------------+----+
