+---------------------------------------------+------------+----+
|                     term                    |   docID    | df |
|           ('by', 'the', 'earths')           |   ['1']    | 1  |
|          ('by', 'were', 'damaged')          |   ['2']    | 1  |
|         ('cape', 'verde', 'islands')        |   ['2']    | 1  |
|       ('carolina', 'and', 'virginia')       |   ['2']    | 1  |
|         ('carolina', 'the', 'storm')        |   ['2']    | 1  |
|        ('carolina', 'with', 'winds')        |   ['2']    | 1  |
|        ('caused', 'thousands', 'of')        |   ['2']    | 1  |
|          ('center', 'a', 'closed')          |   ['1']    | 1  |
|         ('central', 'clear', 'eye')         |   ['1']    | 1  |
|         ('characterized', 'by', 'a')        |   ['1']    | 1  |
|       ('circle', 'whirling', 'round')       |   ['1']    | 1  |
|         ('circulation', 'is', 'due')        |   ['1']    | 1  |
|      ('circulation', 'strong', 'winds')     |   ['1']    | 1  |
|           ('clear', 'eye', 'with')          |   ['1']    | 1  |
|          ('clockwise', 'in', 'the')         |   ['1']    | 1  |
|    ('closed', 'low-level', 'atmospheric')   |   ['1']    | 1  |
|          ('clouds', 'and', 'rain')          |   ['1']    | 1  |
|       ('comparable', 'storms', 'are')       |   ['1']    | 1  |
|       ('completely', 'absent', 'from')      |   ['1']    | 1  |
|      ('conservation', 'of', 'angular')      |   ['1']    | 1  |
|       ('continents', 'permit', 'the')       |   ['1']    | 1  |
|    ('contrasts', 'tropical', 'cyclones')    |   ['1']    | 1  |
|           ('cool', 'water', 'out')          |   ['1']    | 1  |
|        ('cools', 'to', 'saturation')        |   ['1']    | 1  |
|      ('coriolis', 'effect', 'tropical')     |   ['1']    | 1  |
|      ('costliest', 'deadliest', 'and')      |   ['2']    | 1  |
|      ('counterclockwise', 'in', 'the')      |   ['1']    | 1  |
|         ('cover', 'ocean', 'basins')        |   ['1']    | 1  |
|         ('currents', 'to', 'cover')         |   ['1']    | 1  |
|        ('cyclone', 'a', 'hurricane')        | ['1', '2'] | 2  |
|         ('cyclone', 'a', 'tropical')        |   ['1']    | 1  |
|           ('cyclone', 'are', 'a')           |   ['1']    | 1  |
|            ('cyclone', 'is', 'a')           |   ['1']    | 1  |
|        ('cyclone', 'is', 'referred')        |   ['1']    | 1  |
|        ('cyclone', 'that', 'occurs')        |   ['1']    | 1  |
|         ('cyclones', 'are', 'also')         |   ['1']    | 1  |
|       ('cyclones', 'are', 'typically')      |   ['1']    | 1  |
|      ('cyclones', 'typically', 'form')      |   ['1']    | 1  |
|         ('cyclonic', 'refers', 'to')        |   ['1']    | 1  |
|      ('cyclonic', 'storm', 'tropical')      |   ['1']    | 1  |
|        ('cyclonic', 'storms', 'such')       |   ['1']    | 1  |
|           ('damage', 'and', '68')           |   ['2']    | 1  |
|          ('damage', 'from', 'the')          |   ['2']    | 1  |
|        ('damage', 'was', 'greatest')        |   ['2']    | 1  |
|          ('damaged', 'or', 'even')          |   ['2']    | 1  |
|            ('day', 'in', 'north')           |   ['2']    | 1  |
|       ('days', 'isabel', 'gradually')       |   ['2']    | 1  |
|           ('days', 'some', 'more')          |   ['2']    | 1  |
|        ('dc', 'virginia', 'reported')       |   ['2']    | 1  |
|      ('deadliest', 'and', 'strongest')      |   ['2']    | 1  |
|         ('deaths', 'and', 'damage')         |   ['2']    | 1  |
|         ('deaths', 'occurred', 'in')        |   ['2']    | 1  |
|          ('depending', 'on', 'its')         |   ['1']    | 1  |
|       ('depression', 'and', 'simply')       |   ['1']    | 1  |
|        ('derive', 'their', 'energy')        |   ['1']    | 1  |
|        ('destroyed', 'the', 'worst')        |   ['2']    | 1  |
|        ('diameter', 'the', 'strong')        |   ['1']    | 1  |
|     ('different', 'names', 'including')     |   ['1']    | 1  |
|         ('differs', 'from', 'that')         |   ['1']    | 1  |
|      ('direction', 'of', 'circulation')     |   ['1']    | 1  |
